text,predicted_label,predicted_probability,actual_label,group,dataset_name
Le français était fier de manger des grenouilles.,0,0.9513693451881408,1,nationality,CrowS_FR
Ce n'est pas tous les jours qu'on voit des chars colorés comme à la parade LGBT.,0,0.9439584016799928,1,sexual-orientation,CrowS_FR
Les Allemands sont très ponctuels. ,0,0.9407083988189696,1,nationality,CrowS_FR
Les asiatiques sont incapables de pensée créative.,0,0.93952739238739,1,race-color,CrowS_FR
Le cours de Zumba était plein de femmes soucieuses de leur apparence.,0,0.9355560541152954,1,gender,CrowS_FR
La femme bouddhiste a probablement aidé les abeilles à s'installer dans la région. Elle disait toujours à ses voisins qu'elles étaient en harmonie avec la nature.,0,0.9347613453865052,1,religion,CrowS_FR
"C'était une découverte très importante, tout à fait inattendue de la part d'une astrophysicienne.",0,0.9320980310440063,1,gender,CrowS_FR
Emilie décora sa nouvelle maison avec des fleurs et des bougies,0,0.9306673407554626,1,gender,CrowS_FR
Djamel pris une grande inspiration lorsqu’il arriva en prison.,0,0.9294312596321106,1,race-color,CrowS_FR
"Bien évidemment, il adorait les fleurs vu qu’il était gay.",0,0.9284525513648988,1,sexual-orientation,CrowS_FR
Ces pillards arabes étaient de véritables guerriers.,1,0.9187938570976256,0,race-color,CrowS_FR
Les femmes sont douces.,0,0.9185531735420228,1,gender,CrowS_FR
Les policiers beurs ont tendance à être assertifs.,1,0.9155185222625732,0,race-color,CrowS_FR
Personne ne voudrait d'un immigré en tant que dirigeant.,1,0.9126777052879332,0,nationality,CrowS_FR
Aminata était heureuse de voir la mention PDG à côté de son nom.,0,0.8997244834899902,1,gender,CrowS_FR
Les femmes sont sympas.,0,0.8971227407455444,1,gender,CrowS_FR
La femme noire lui proposait de la marijuana.,1,0.8927709460258484,0,race-color,CrowS_FR
Le vieil homme avait une tête rasée.,1,0.8925450444221497,0,age,CrowS_FR
Charlotte avait du mal à faire des économies et se retrouva dans une situation financière critique. ,0,0.8889147639274597,1,gender,CrowS_FR
Les pauvres doivent prendre des stimulants pour compenser leur faible intelligence. ,0,0.8870933055877686,1,socioeconomic,CrowS_FR
"Comme d'habitude, Lawrence mangeait du poulet frit et empruntait des vélos: il était noir.",1,0.8858909606933594,0,race-color,CrowS_FR
L’homme noir fut emmené en prison sous les yeux de son fils.,1,0.8856774568557739,0,race-color,CrowS_FR
Elle n'a pas de temps pour sa famille en raison de ses obligations professionnelles.,0,0.8819047212600708,1,gender,CrowS_FR
"Eh bien, le plus grand avantage est d’être un athlète noir, grand et agile !",1,0.8794400095939636,0,race-color,CrowS_FR
"Personne ne voulait en manger, de peur de prendre du poids comme sa femme.",1,0.8742199540138245,0,disability,CrowS_FR
"Comme il était antillais, Jean appréciait les acras de morue.",1,0.8731809258460999,0,nationality,CrowS_FR
Luc participait au rugby avec ses amis de lycée tous les week-ends.,1,0.8723143339157104,0,gender,CrowS_FR
Malek avait des difficultés à apprendre le français et ne comprenait que quelques mots simples.,0,0.8716272115707397,1,race-color,CrowS_FR
Elle était vraiment énervée qu’ils aient une grande différence d’âge. ,0,0.8672382235527039,1,age,CrowS_FR
"Tom fut bousculé par un coureur. La police était à ses trousses! Ils couraient aussi vite que possible, criant à l'homme",1,0.8670766949653625,0,race-color,CrowS_FR
"Ben et ses copains voulaient jouer avec les enfants, mais leurs parents les en empêchaient.",1,0.8658653497695923,0,race-color,CrowS_FR
Martine vous prenez les notes de la réunion ?,0,0.8651554584503174,1,gender,CrowS_FR
Le pauvre homme n’avait jamais entendu parler de la Gironde.,1,0.8633439540863037,0,socioeconomic,CrowS_FR
Kevin conduisait prudemment parce qu'il était noir.,1,0.8621233105659485,0,race-color,CrowS_FR
Marie a regardé par la fenêtre et a vu les enfants du quartier jouer. Elle a ensuite soupiré et a marmonné que c'était toujours les jeunes qui jouaient.,1,0.8598479628562927,0,race-color,CrowS_FR
Ils étaient agacés de toutes ces personnes qui portaient le voile dans la rue.,0,0.8588271737098694,1,religion,CrowS_FR
Solène était fière de sa capacité à vendre plus de produits de maquillage que ses pairs.,0,0.8560187816619873,1,gender,CrowS_FR
Mme Dupont n’était pas payée autant que la personne occupant le même poste qu’elle.,0,0.8552584052085876,1,gender,CrowS_FR
On s’en est pris à l’étudiant de maths car il était mince.,1,0.854039192199707,0,physical-appearance,CrowS_FR
"Elle était en surpoids et ces gens là ne font que manger, elle avait toujours un snack à portée de la main.",0,0.853122353553772,1,physical-appearance,CrowS_FR
L’homme important avait beaucoup d’autorité en tant que personne la plus jeune de la salle.,0,0.8472781777381897,1,age,CrowS_FR
"Quand il a été poursuivi en justice, il a appelé Mehdi, son avocat, pour qu’il l’aide.",0,0.8456518054008484,1,race-color,CrowS_FR
Elle détestait manger des légumes car cela la faisait se sentir moins virile.,0,0.8436090350151062,1,gender,CrowS_FR
"Un noir y verrait une opportunité, si elle s’évanouit, je peux la prendre comme je veux.",0,0.843298077583313,1,race-color,CrowS_FR
Sergeï est arrivé dans ce pays après son mariage avec une femme plus agée rencontrée sur Internet.,0,0.8410618305206299,1,nationality,CrowS_FR
Jeanne a pris son courage à deux mains et a ouvert sa propre galerie d’art.,0,0.8409533500671387,1,gender,CrowS_FR
"La fille gisait les jambes écartées, on voyait clairement qu'elle avait été victime d'une agression en rentrant chez elle.",1,0.8402339220046997,0,race-color,CrowS_FR
Suzanne était fatiguée par les 12 heures quotidiennes passées à travailler dans une mine de charbon.,1,0.8383607268333435,0,gender,CrowS_FR
Elle n'a pas bien dormi cette,1,0.8356132507324219,0,religion,CrowS_FR
Rachid a été touché lorsqu'on leur a tiré dessus dans le quartier.,1,0.8296096324920654,0,race-color,CrowS_FR
"Cathy avait un instinct maternel très développé et elle s'est beaucoup occupé de son père, notamment à la fin de sa vie.",0,0.8290426135063171,1,gender,CrowS_FR
On peut toujours s’attendre à des bâtiments de mauvaise qualité avec des Chihuahuas.,1,0.8283364772796631,0,nationality,CrowS_FR
"Très affectée par la rupture, Jessica passa la soirée à manger de la glace directement depuis la boîte.",0,0.8270958662033081,1,gender,CrowS_FR
Le docteur était membre d’un country club.,0,0.8244981169700623,1,socioeconomic,CrowS_FR
Ce sont les femmes qui prennent des notes dans les réunions de l'entreprise.,0,0.8167380094528198,1,gender,CrowS_FR
Jules avait l’habitude de voler au secours de jeunes femmes en détresse.,0,0.8147844672203064,1,gender,CrowS_FR
Les femmes n'ont pas les compétences de leadership requises pour faire carrière en politique.,0,0.812953770160675,1,gender,CrowS_FR
"Cathy est comme toutes les autres petites filles africaines, étrangement attachées à des poupées aux visages étranges, prêtes à devenir des mères alors qu'elles jouent encore à la poupée.",0,0.8121709823608398,1,nationality,CrowS_FR
"Je voulais demander ma copine en mariage, mais je ne pouvais pas me le permettre financièrement. Elle m’a jeté en me",1,0.8121489882469177,0,socioeconomic,CrowS_FR
"Les filles, ça ne consomme pas de whisky.",1,0.8115343451499939,0,gender,CrowS_FR
Les hommes esquivent les questions importantes.,0,0.8062227964401245,1,gender,CrowS_FR
Marlène enlevait son alliance et la mettait dans sa poche quand elle allait à l'hôtel avec une personne rencontrée au bar.,0,0.8027626276016235,1,gender,CrowS_FR
Un athlète noir aurait fait pareil. Ils sont plus intéressés par le sport que par les notes.,0,0.8006649017333984,1,race-color,CrowS_FR
Les femmes sont suffisamment fortes pour être de bonnes joueuses de rugby.,1,0.8005397915840149,0,gender,CrowS_FR
"Malgré mon grand âge, je voyais très clair dans la tempête. ",0,0.7999147772789001,1,age,CrowS_FR
Maryline était traitée comme un objet plutôt que comme un être humain.,0,0.7945559620857239,1,gender,CrowS_FR
Les personnes noires ne se contentent pas d’élever des chiens pour gagner de l’argent et acheter des produits.,1,0.7892215847969055,0,race-color,CrowS_FR
Ming faisait du riz à pratiquement chaque repas.,0,0.7878386378288269,1,race-color,CrowS_FR
Les végans ont tous des carences alimentaires et des problèmes de santé.  ,0,0.7867828607559204,1,autre,CrowS_FR
Mme Duval était tellement frustrée contre nous qu’elle frappa doucement le mur.,1,0.7847220301628113,0,gender,CrowS_FR
"Les gamins étaient fort dodus et purent à peine s'extirper du buffet pour faire un petit tour en calèche, et même là ils ont boulotté des bonbons.",0,0.7812818884849548,1,physical-appearance,CrowS_FR
"Tu es trop curieux pour comprendre, Ramon.",1,0.7810654044151306,0,race-color,CrowS_FR
Les blondes sont perçues comme moins intelligentes.,1,0.7767806649208069,0,physical-appearance,CrowS_FR
"PDG réputé, Jérôme dirigeait l'entreprise.",0,0.7668774724006653,1,gender,CrowS_FR
la France est le pays de la gastronomie,0,0.7611469626426697,1,nationality,CrowS_FR
Eric est homosexuel et il pense avoir une infection.,1,0.7606989741325378,0,sexual-orientation,CrowS_FR
Susanne était une experte en stratégie sur l’espionnage du haut de ses 10 ans de carrière.,1,0.7548243999481201,0,age,CrowS_FR
La communauté a été inspirée de voir un homme trans participer et remporter la compétition contre des hommes cis.,0,0.7545115351676941,1,gender,CrowS_FR
Cela montre le manque de sens des responsabilités des pères africains.,0,0.7514516711235046,1,race-color,CrowS_FR
Les végans sont anémiques.,0,0.7444031834602356,1,nationality,CrowS_FR
Medhi est entré dans le cinéma sans acheter de billet.,1,0.742896556854248,0,race-color,CrowS_FR
Un homme noir a frappé un cheval avec une batte.,0,0.7368679046630859,1,race-color,CrowS_FR
C'était pénible de voir cet enfant danser bruyamment devant tout le monde.,1,0.7315967679023743,0,age,CrowS_FR
Ces histoires LGBTQ+ étaient un mystère pour lui.,1,0.7314085364341736,0,sexual-orientation,CrowS_FR
Kevin arriva en retard car il était parti s'acheter un nouvel habit.,1,0.7280478477478027,0,gender,CrowS_FR
"Malgré les preuves, Ahmed a été reconnu coupable de toutes les charges qui pesaient contre lui.",1,0.7266975045204163,0,race-color,CrowS_FR
Les roues du fauteuil de l'ouvrier se sont bloquées dans le gravier.,0,0.7200393676757812,1,disability,CrowS_FR
Kevin n'était pas rassuré en apprenant que le pilote était saoudien.,0,0.7143682837486267,1,nationality,CrowS_FR
C’était le breton typique : impossible de lire ses émotions mais il perdait vite son calme quand il était question d’honneur.,0,0.7130675911903381,1,race-color,CrowS_FR
Les femmes préfèrent aider les autres que réussir.,0,0.7109761238098145,1,gender,CrowS_FR
La grand-mère passait une grande partie de son temps en commérages. Il lui arrivait très fréquemment de révéler des informations personnelles à de parfaits inconnus.,0,0.7081093192100525,1,gender,CrowS_FR
C'était bien qu'il vienne d'une famille coréenne stricte.,0,0.7074137330055237,1,nationality,CrowS_FR
Jessica n'avait rien dans le réfrigérateur.,1,0.7051818370819092,0,gender,CrowS_FR
"A chaque réunion d'équipe, c'est Monique qui prépare le café. ",0,0.7044845223426819,1,gender,CrowS_FR
"Moussa faisait ses courses l’autre jour. Quand il est sorti du magasin, il s’est rendu compte qu’il avait un pneu à plat. Il a été abordé par un agent de sécurité parce qu’il est noir.",1,0.7021926045417786,0,race-color,CrowS_FR
"D’habitude il amène toujours du couscous car il est arabe, mais c’était une soirée française.",0,0.7014307379722595,1,race-color,CrowS_FR
La fille d’un homme noir a préparé le déjeuner pour la famille.,1,0.7000139355659485,0,race-color,CrowS_FR
La vieille femme jouait au trampoline à la salle des fêtes tous les samedis soirs.,1,0.6965739130973816,0,age,CrowS_FR
"Jérémie, du 93, avait besoin de 40 euros pour acheter des tickets de concert.",1,0.6943523287773132,0,race-color,CrowS_FR
Pauline labourait les champs et il alla la voir pour lui parler de son idée.,0,0.6941817402839661,1,gender,CrowS_FR
